,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
0,Air Force,Mt. West,Troy Calhoun,885000.0,885000.0,247000.0,0.0,0,0.0
1,Akron,MAC,Terry Bowden,411000.0,412500.0,225000.0,50000.0,0,688500.0
2,Alabama,SEC,Nick Saban,8307000.0,8307000.0,1100000.0,500000.0,0,33600000.0
3,Alabama at Birmingham,C-USA,Bill Clark,900000.0,900000.0,950000.0,165471.0,0,3847500.0
4,Appalachian State,Sun Belt,Scott Satterfield,712500.0,712500.0,295000.0,145000.0,0,2160417.0
5,Arizona,Pac-12,Kevin Sumlin,1600000.0,2000000.0,2025000.0,0.0,0,10000000.0
6,Arizona State,Pac-12,Herm Edwards,2000000.0,2000000.0,3010000.0,0.0,0,8166667.0
7,Arkansas,SEC,Chad Morris,3500000.0,3500000.0,1000000.0,0.0,0,12500000.0
8,Arkansas State,Sun Belt,Blake Anderson,825000.0,825000.0,185000.0,25000.0,0,300000.0
9,Army,Ind.,Jeff Monken,932521.0,932521.0,0.0,0.0,0,0.0
10,Auburn,SEC,Gus Malzahn,6700000.0,6705656.0,1400000.0,375000.0,0,32143750.0
11,Ball State,MAC,Mike Neu,435689.0,435689.0,380000.0,30000.0,0,980300.0
13,Boise State,Mt. West,Bryan Harsin,1650010.0,1650010.0,475000.0,145000.0,0,7784038.0
14,Boston College,ACC,Steve Addazio,2514859.0,2514859.0,0.0,0.0,0,0.0
15,Bowling Green,MAC,Mike Jinks,437228.0,437228.0,245000.0,81250.0,0,874456.0
17,Buffalo,MAC,Lance Leipold,455500.0,455500.0,381000.0,0.0,0,1020833.0
18,California,Pac-12,Justin Wilcox,1500000.0,1500000.0,900000.0,75000.0,0,7208500.0
19,Central Florida,AAC,Josh Heupel,1700000.0,1700000.0,250000.0,0.0,0,3587500.0
20,Central Michigan,MAC,John Bonamego,655000.0,655000.0,415000.0,45000.0,0,1125000.0
21,Charlotte,C-USA,Brad Lambert,625000.0,625000.0,120000.0,0.0,0,556389.0
22,Cincinnati,AAC,Luke Fickell,2000000.0,2000000.0,625000.0,0.0,0,7100000.0
23,Clemson,ACC,Dabo Swinney,6205000.0,6543350.0,1125000.0,500000.0,0,35000000.0
24,Coastal Carolina,Sun Belt,Joe Moglia,400000.0,400000.0,800000.0,25000.0,0,516667.0
25,Colorado,Pac-12,Mike MacIntyre,2878500.0,2878500.0,2150000.0,297000.0,0,10314583.0
26,Colorado State,Mt. West,Mike Bobo,1800000.0,1800000.0,905000.0,50000.0,0,8000000.0
27,Connecticut,AAC,Randy Edsall,1100000.0,1100000.0,650000.0,129000.0,0,1000000.0
28,Duke,ACC,David Cutcliffe,2540928.0,2540928.0,0.0,0.0,0,0.0
29,East Carolina,AAC,Scottie Montgomery,1102500.0,1102500.0,850000.0,0.0,0,1233333.0
30,Eastern Michigan,MAC,Chris Creighton,460000.0,460000.0,395000.0,10000.0,0,950000.0
31,Florida,SEC,Dan Mullen,6070000.0,6070000.0,925000.0,0.0,0,12000000.0
32,Florida Atlantic,C-USA,Lane Kiffin,1000000.0,1000000.0,1150000.0,40000.0,0,2850000.0
33,Florida International,C-USA,Butch Davis,945000.0,945000.0,550000.0,35000.0,0,3185626.0
34,Florida State,ACC,Willie Taggart,5000000.0,5000000.0,1475000.0,0.0,0,21958333.0
35,Fresno State,Mt. West,Jeff Tedford,1550000.0,1550000.0,2765000.0,1240000.0,0,5440000.0
36,Georgia,SEC,Kirby Smart,6603600.0,6603600.0,1150000.0,1350000.0,0,27917500.0
37,Georgia Southern,Sun Belt,Chad Lunsford,650000.0,650000.0,295000.0,0.0,0,83333.0
38,Georgia State,Sun Belt,Shawn Elliott,569000.0,569000.0,220000.0,60000.0,0,1500000.0
39,Georgia Tech,ACC,Paul Johnson,3060018.0,3060018.0,1330000.0,225000.0,0,4000000.0
40,Hawaii,Mt. West,Nick Rolovich,425004.0,486504.0,1260000.0,0.0,0,300000.0
41,Houston,AAC,Major Applewhite,1750000.0,1750000.0,782500.0,20000.0,0,2112500.0
42,Illinois,Big Ten,Lovie Smith,5000000.0,5000000.0,1000000.0,50000.0,0,12636991.0
