,School,Conference,SPORT,FSR,GSR
0,Alabama A&M University,Southwestern Athletic Conf.,MFB,47.0,62.0
1,University of Alabama at Birmingham,Conference USA,MFB,58.0,71.0
2,Alabama State University,Southwestern Athletic Conf.,MFB,42.0,58.0
3,University of Alabama,Southeastern Conference,MFB,63.0,84.0
4,Auburn University,Southeastern Conference,MFB,60.0,72.0
5,Jacksonville State University,Ohio Valley Conference,MFB,57.0,62.0
6,Samford University,Southern Conference,MFB,78.0,93.0
7,University of South Alabama,Sun Belt Conference,MFB,55.0,66.0
8,Troy University,Sun Belt Conference,MFB,57.0,73.0
9,Arizona State University,Pac-12 Conference,MFB,61.0,73.0
10,University of Arizona,Pac-12 Conference,MFB,63.0,76.0
11,Northern Arizona University,Big Sky Conference,MFB,54.0,75.0
12,"University of Arkansas, Fayetteville",Southeastern Conference,MFB,42.0,56.0
13,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,MFB,44.0,54.0
14,Arkansas State University,Sun Belt Conference,MFB,68.0,83.0
15,University of Central Arkansas,Southland Conference,MFB,52.0,73.0
16,California Polytechnic State University,Big Sky Conference,MFB,69.0,70.0
17,"California State University, Fresno",Mountain West Conference,MFB,69.0,76.0
18,"California State University, Sacramento",Big Sky Conference,MFB,38.0,61.0
19,"University of California, Berkeley",Pac-12 Conference,MFB,52.0,64.0
20,"University of California, Davis",Big Sky Conference,MFB,81.0,82.0
21,"University of California, Los Angeles",Pac-12 Conference,MFB,66.0,84.0
22,San Diego State University,Mountain West Conference,MFB,70.0,74.0
24,San Jose State University,Mountain West Conference,MFB,74.0,80.0
25,University of Southern California,Pac-12 Conference,MFB,60.0,76.0
26,"University of Colorado, Boulder",Pac-12 Conference,MFB,63.0,85.0
27,Colorado State University,Mountain West Conference,MFB,61.0,73.0
28,University of Northern Colorado,Big Sky Conference,MFB,62.0,84.0
30,Central Connecticut State University,Northeast Conference,MFB,47.0,62.0
31,University of Connecticut,American Athletic Conference,MFB,68.0,79.0
32,Sacred Heart University,Northeast Conference,MFB,59.0,83.0
34,Delaware State University,Mid-Eastern Athletic Conf.,MFB,53.0,70.0
35,University of Delaware,Colonial Athletic Association,MFB,74.0,79.0
36,Georgetown University,Patriot League,MFB,81.0,92.0
37,Howard University,Mid-Eastern Athletic Conf.,MFB,64.0,73.0
38,Bethune-Cookman University,Mid-Eastern Athletic Conf.,MFB,51.0,61.0
39,University of Central Florida,American Athletic Conference,MFB,63.0,87.0
40,Florida A&M University,Mid-Eastern Athletic Conf.,MFB,41.0,55.0
41,Florida Atlantic University,Conference USA,MFB,58.0,69.0
42,Florida International University,Conference USA,MFB,60.0,70.0
43,Florida State University,Atlantic Coast Conference,MFB,52.0,65.0
44,University of Florida,Southeastern Conference,MFB,42.0,74.0
46,University of Miami (Florida),Atlantic Coast Conference,MFB,59.0,82.0
47,University of South Florida,American Athletic Conference,MFB,72.0,76.0
48,Georgia Institute of Technology,Atlantic Coast Conference,MFB,73.0,86.0
49,Georgia Southern University,Sun Belt Conference,MFB,50.0,62.0
50,Georgia State University,Sun Belt Conference,MFB,71.0,60.0
51,University of Georgia,Southeastern Conference,MFB,42.0,58.0
52,Savannah State University,Mid-Eastern Athletic Conf.,MFB,30.0,34.0
53,"University of Hawaii, Manoa",Mountain West Conference,MFB,56.0,79.0
54,Boise State University,Mountain West Conference,MFB,69.0,89.0
55,Idaho State University,Big Sky Conference,MFB,53.0,83.0
56,University of Idaho,Sun Belt Conference,MFB,32.0,52.0
57,Eastern Illinois University,Ohio Valley Conference,MFB,58.0,72.0
58,University of Illinois Urbana-Champaign,Big Ten Conference,MFB,65.0,81.0
59,Illinois State University,Missouri Valley Football Conference,MFB,50.0,73.0
60,Northern Illinois University,Mid-American Conference,MFB,63.0,83.0
61,Northwestern University,Big Ten Conference,MFB,92.0,99.0
62,Southern Illinois University at Carbondale,Missouri Valley Football Conference,MFB,62.0,76.0
63,Western Illinois University,Missouri Valley Football Conference,MFB,51.0,75.0
64,Ball State University,Mid-American Conference,MFB,60.0,70.0
66,Indiana State University,Missouri Valley Football Conference,MFB,54.0,68.0
67,"Indiana University, Bloomington",Big Ten Conference,MFB,68.0,83.0
68,University of Notre Dame,Independent,MFB,87.0,95.0
70,Drake University,Pioneer Football League,MFB,100.0,89.0
71,Iowa State University,Big 12 Conference,MFB,62.0,82.0
72,University of Iowa,Big Ten Conference,MFB,64.0,80.0
73,University of Northern Iowa,Missouri Valley Football Conference,MFB,53.0,71.0
74,University of Kansas,Big 12 Conference,MFB,62.0,78.0
75,Kansas State University,Big 12 Conference,MFB,64.0,82.0
76,Eastern Kentucky University,Ohio Valley Conference,MFB,54.0,77.0
77,University of Kentucky,Southeastern Conference,MFB,54.0,74.0
78,University of Louisville,Atlantic Coast Conference,MFB,77.0,86.0
80,Murray State University,Ohio Valley Conference,MFB,59.0,79.0
81,Western Kentucky University,Conference USA,MFB,55.0,74.0
82,Grambling State University,Southwestern Athletic Conf.,MFB,62.0,62.0
83,Louisiana State University,Southeastern Conference,MFB,41.0,73.0
84,Louisiana Tech University,Conference USA,MFB,53.0,65.0
85,McNeese State University,Southland Conference,MFB,75.0,78.0
86,Nicholls State University,Southland Conference,MFB,52.0,71.0
87,University of Louisiana at Monroe,Sun Belt Conference,MFB,63.0,72.0
88,Northwestern State University,Southland Conference,MFB,54.0,68.0
89,Southeastern Louisiana University,Southland Conference,MFB,51.0,71.0
90,"Southern University, Baton Rouge",Southwestern Athletic Conf.,MFB,42.0,47.0
91,University of Louisiana at Lafayette,Sun Belt Conference,MFB,61.0,74.0
92,Tulane University,American Athletic Conference,MFB,69.0,88.0
93,"University of Maine, Orono",Colonial Athletic Association,MFB,66.0,78.0
94,"University of Maryland, College Park",Big Ten Conference,MFB,66.0,84.0
95,Morgan State University,Mid-Eastern Athletic Conf.,MFB,45.0,57.0
96,Towson University,Colonial Athletic Association,MFB,53.0,73.0
97,U.S. Naval Academy,American Athletic Conference,MFB,100.0,81.0
98,Boston College,Atlantic Coast Conference,MFB,76.0,88.0
99,Harvard University,The Ivy League,MFB,100.0,100.0
100,College of the Holy Cross,Patriot League,MFB,84.0,96.0
101,"University of Massachusetts, Amherst",Independent,MFB,49.0,66.0
103,Central Michigan University,Mid-American Conference,MFB,58.0,71.0
104,Eastern Michigan University,Mid-American Conference,MFB,42.0,67.0
