,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,stadium_team,StadiumCapacity,grad_conf,FSR,GSR,Pct
1,Akron,MAC,Terry Bowden,411000.0,412500.0,225000.0,50000.0,0,688500.0,Akron,30000,Mid-American Conference,61.0,72.0,0.3333333333333333
2,Alabama,SEC,Nick Saban,8307000.0,8307000.0,1100000.0,500000.0,0,33600000.0,Alabama,101821,Southeastern Conference,63.0,84.0,0.9333333333333333
3,Alabama at Birmingham,C-USA,Bill Clark,900000.0,900000.0,950000.0,165471.0,0,3847500.0,UAB,71594,Conference USA,58.0,71.0,0.7857142857142857
4,Appalachian State,Sun Belt,Scott Satterfield,712500.0,712500.0,295000.0,145000.0,0,2160417.0,Appalachian State,30000,Sun Belt Conference,67.0,71.0,0.8461538461538461
5,Arizona,Pac-12,Kevin Sumlin,1600000.0,2000000.0,2025000.0,0.0,0,10000000.0,Arizona,56029,Pac-12 Conference,63.0,76.0,0.4166666666666667
6,Arizona State,Pac-12,Herm Edwards,2000000.0,2000000.0,3010000.0,0.0,0,8166667.0,Arizona State,56232,Pac-12 Conference,61.0,73.0,0.5384615384615384
7,Arkansas,SEC,Chad Morris,3500000.0,3500000.0,1000000.0,0.0,0,12500000.0,Arkansas,72000,Southeastern Conference,42.0,56.0,0.16666666666666666
8,Arkansas State,Sun Belt,Blake Anderson,825000.0,825000.0,185000.0,25000.0,0,300000.0,Arkansas State,30964,Sun Belt Conference,68.0,83.0,0.6153846153846154
10,Auburn,SEC,Gus Malzahn,6700000.0,6705656.0,1400000.0,375000.0,0,32143750.0,Auburn,87451,Southeastern Conference,60.0,72.0,0.6153846153846154
11,Ball State,MAC,Mike Neu,435689.0,435689.0,380000.0,30000.0,0,980300.0,Ball State,22500,Mid-American Conference,60.0,70.0,0.3333333333333333
13,Boise State,Mt. West,Bryan Harsin,1650010.0,1650010.0,475000.0,145000.0,0,7784038.0,Boise State,36387,Mountain West Conference,69.0,89.0,0.7692307692307693
14,Boston College,ACC,Steve Addazio,2514859.0,2514859.0,0.0,0.0,0,0.0,Boston College,44500,Atlantic Coast Conference,76.0,88.0,0.5833333333333334
15,Bowling Green,MAC,Mike Jinks,437228.0,437228.0,245000.0,81250.0,0,874456.0,Bowling Green,24000,Mid-American Conference,68.0,82.0,0.25
17,Buffalo,MAC,Lance Leipold,455500.0,455500.0,381000.0,0.0,0,1020833.0,Buffalo,29013,Mid-American Conference,56.0,70.0,0.7142857142857143
18,California,Pac-12,Justin Wilcox,1500000.0,1500000.0,900000.0,75000.0,0,7208500.0,California,62717,Pac-12 Conference,52.0,64.0,0.5384615384615384
19,Central Florida,AAC,Josh Heupel,1700000.0,1700000.0,250000.0,0.0,0,3587500.0,UCF,44206,American Athletic Conference,63.0,87.0,0.9230769230769231
