ZipCode,RegionID,ZipCode,City,State,Metro,CountyName,SizeRank
60657,84654,60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1
77494,91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,2
60614,84616,60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3
77449,91940,77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4
79936,93144,79936,El Paso,TX,El Paso,El Paso County,5
77084,91733,77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,6
10467,61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,7
11226,62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,8
60640,84640,60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,9
94109,97564,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,10
78660,92593,78660,Pflugerville,TX,Austin-Round Rock,Travis County,11
37013,74101,37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,12
32162,71831,32162,The Villages,FL,The Villages,Sumter County,13
11235,62045,11235,New York,NY,New York-Newark-Jersey City,Kings County,14
11375,62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,15
60647,84646,60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,16
90250,96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,17
37211,74242,37211,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,18
77573,92036,77573,League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,20
60618,84620,60618,Chicago,IL,Chicago-Naperville-Elgin,Cook County,21
78130,92271,78130,New Braunfels,TX,San Antonio-New Braunfels,Comal County,22
77584,92045,77584,Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,23
10128,61703,10128,New York,NY,New York-Newark-Jersey City,New York County,25
28269,69816,28269,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,26
20002,66126,20002,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,27
78613,92551,78613,Cedar Park,TX,Austin-Round Rock,Williamson County,28
78572,92515,78572,Mission,TX,McAllen-Edinburg-Mission,Hidalgo County,29
